Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,height,weight,birth_date,college,Salary
24554,2017.0,Malachi Richardson,SG,21.0,SAC,22.0,0.0,198.0,9.6,0.517,0.412,0.279,1.8,11.5,6.7,8.7,1.3,0.5,9.5,19.3,,0.0,0.1,0.1,0.028,,-2.5,-3.0,-5.5,-0.2,28.0,68.0,0.412,8.0,28.0,0.286,20.0,40.0,0.5,0.471,15.0,19.0,0.789,3.0,20.0,23.0,11.0,5.0,1.0,8.0,23.0,79.0,6-6,205.0,"January 5, 1996",Syracuse University,1504560.0
24555,2017.0,Austin Rivers,SG,24.0,LAC,74.0,29.0,2054.0,11.4,0.545,0.409,0.261,1.1,7.5,4.4,15.0,1.2,0.4,12.4,20.3,,1.2,1.3,2.5,0.059,,-0.1,-1.5,-1.6,0.2,323.0,731.0,0.442,111.0,299.0,0.371,212.0,432.0,0.491,0.518,132.0,191.0,0.691,20.0,141.0,161.0,204.0,48.0,10.0,115.0,187.0,889.0,6-4,200.0,"August 1, 1992",Duke University,11825000.0
24556,2017.0,Andre Roberson,SF,25.0,OKC,79.0,79.0,2376.0,9.6,0.51,0.397,0.24,4.6,14.2,9.4,4.6,1.9,2.7,9.1,10.1,,1.1,3.1,4.2,0.085,,-2.1,2.1,0.0,1.2,215.0,463.0,0.464,45.0,184.0,0.245,170.0,279.0,0.609,0.513,47.0,111.0,0.423,98.0,304.0,402.0,79.0,94.0,79.0,51.0,204.0,522.0,6-7,210.0,"December 4, 1991",University of Colorado,9259259.0
24558,2017.0,Glenn Robinson,SF,23.0,IND,69.0,27.0,1426.0,11.5,0.564,0.37,0.225,4.5,14.6,9.6,4.7,1.4,1.2,9.1,12.8,,1.3,1.2,2.5,0.085,,-1.2,-0.2,-1.4,0.2,158.0,338.0,0.467,49.0,125.0,0.392,109.0,213.0,0.512,0.54,54.0,76.0,0.711,57.0,188.0,245.0,47.0,41.0,20.0,37.0,63.0,419.0,6-6,222.0,"January 8, 1994",University of Michigan,1524305.0
24561,2017.0,Rajon Rondo,PG,30.0,CHI,69.0,42.0,1843.0,13.6,0.461,0.237,0.089,4.2,16.6,10.4,37.0,2.7,0.5,22.4,17.8,,-0.3,2.7,2.3,0.061,,-1.3,1.6,0.3,1.1,229.0,561.0,0.408,50.0,133.0,0.376,179.0,428.0,0.418,0.453,30.0,50.0,0.6,73.0,282.0,355.0,461.0,99.0,11.0,168.0,144.0,538.0,6-1,186.0,"February 22, 1986",University of Kentucky,3300000.0
24562,2017.0,Derrick Rose,PG,28.0,NYK,64.0,64.0,2082.0,17.0,0.53,0.061,0.259,3.4,9.3,6.4,22.8,1.1,0.7,11.9,25.7,,2.4,0.6,3.0,0.068,,0.2,-2.2,-1.9,0.0,460.0,977.0,0.471,13.0,60.0,0.217,447.0,917.0,0.487,0.477,221.0,253.0,0.874,66.0,180.0,246.0,283.0,44.0,17.0,147.0,84.0,1154.0,6-3,190.0,"October 4, 1988",University of Memphis,2116955.0
24563,2017.0,Terrence Ross,SF,25.0,TOT,78.0,24.0,1955.0,13.4,0.55,0.524,0.103,1.0,10.9,5.9,7.1,2.3,1.4,8.0,19.3,,1.5,2.0,3.5,0.086,,0.4,-0.6,-0.2,0.9,326.0,746.0,0.437,142.0,391.0,0.363,184.0,355.0,0.518,0.532,64.0,77.0,0.831,18.0,189.0,207.0,88.0,88.0,33.0,68.0,143.0,858.0,6-7,206.0,"February 5, 1991",University of Washington,10500000.0
24564,2017.0,Terrence Ross,SF,25.0,TOR,54.0,0.0,1207.0,14.9,0.558,0.534,0.104,1.3,11.7,6.5,5.9,2.3,1.4,6.2,19.8,,1.6,1.4,2.9,0.116,,1.2,-0.8,0.4,0.7,211.0,479.0,0.441,96.0,256.0,0.375,115.0,223.0,0.516,0.541,41.0,50.0,0.82,14.0,125.0,139.0,45.0,54.0,20.0,33.0,82.0,559.0,6-7,206.0,"February 5, 1991",University of Washington,10500000.0
24565,2017.0,Terrence Ross,SF,25.0,ORL,24.0,24.0,748.0,11.1,0.536,0.506,0.101,0.6,9.6,4.9,9.0,2.3,1.4,11.2,18.5,,0.0,0.6,0.6,0.037,,-1.0,-0.3,-1.3,0.1,115.0,267.0,0.431,46.0,135.0,0.341,69.0,132.0,0.523,0.517,23.0,27.0,0.852,4.0,64.0,68.0,43.0,34.0,13.0,35.0,61.0,299.0,6-7,206.0,"February 5, 1991",University of Washington,10500000.0
24566,2017.0,Terry Rozier,PG,22.0,BOS,74.0,0.0,1263.0,10.8,0.466,0.436,0.161,3.6,16.3,10.0,15.2,1.8,0.7,9.7,17.1,,0.0,1.4,1.4,0.053,,-2.5,0.0,-2.5,-0.2,151.0,411.0,0.367,57.0,179.0,0.318,94.0,232.0,0.405,0.437,51.0,66.0,0.773,40.0,187.0,227.0,131.0,45.0,11.0,47.0,69.0,410.0,6-2,190.0,"March 17, 1994",University of Louisville,1988520.0
24567,2017.0,Ricky Rubio,PG,26.0,MIN,75.0,75.0,2469.0,16.8,0.539,0.302,0.438,3.2,11.4,7.2,38.9,2.6,0.3,20.1,17.4,,4.5,1.7,6.1,0.119,,1.7,-1.0,0.8,1.7,261.0,650.0,0.402,60.0,196.0,0.306,201.0,454.0,0.443,0.448,254.0,285.0,0.891,68.0,237.0,305.0,682.0,128.0,10.0,195.0,202.0,836.0,6-4,194.0,"October 21, 1990",,14275000.0
24569,2017.0,Brandon Rush,SG,31.0,MIN,47.0,33.0,1030.0,6.6,0.505,0.61,0.096,1.8,9.5,5.6,5.8,1.1,1.9,12.6,9.6,,0.1,0.3,0.4,0.019,,-2.0,-0.1,-2.1,0.0,70.0,187.0,0.374,44.0,114.0,0.386,26.0,73.0,0.356,0.492,13.0,18.0,0.722,16.0,83.0,99.0,45.0,22.0,23.0,28.0,42.0,197.0,6-6,220.0,"July 7, 1985",University of Kansas,119602.0
24570,2017.0,D'Angelo Russell,PG,20.0,LAL,63.0,60.0,1811.0,15.3,0.518,0.443,0.217,1.8,11.9,6.7,26.8,2.3,0.7,15.6,26.6,,0.3,1.0,1.3,0.034,,1.1,-1.6,-0.5,0.7,351.0,867.0,0.405,135.0,384.0,0.352,216.0,483.0,0.447,0.483,147.0,188.0,0.782,31.0,191.0,222.0,303.0,87.0,16.0,176.0,130.0,984.0,6-5,195.0,"February 23, 1996",Ohio State University,5562360.0
24571,2017.0,Domantas Sabonis,PF,20.0,OKC,81.0,66.0,1632.0,6.9,0.469,0.331,0.139,3.0,16.4,9.7,7.2,1.2,1.6,14.0,15.4,,-1.0,1.8,0.7,0.022,,-4.7,-0.1,-4.9,-1.2,192.0,481.0,0.399,51.0,159.0,0.321,141.0,322.0,0.438,0.452,44.0,67.0,0.657,45.0,242.0,287.0,82.0,39.0,32.0,83.0,200.0,479.0,6-11,240.0,"May 3, 1996",Gonzaga University,2550000.0
24572,2017.0,Larry Sanders,C,28.0,CLE,5.0,0.0,13.0,6.5,0.41,0.0,0.5,26.3,8.2,17.0,0.0,3.8,6.2,29.1,23.6,,0.0,0.0,0.0,-0.029,,-8.7,-0.9,-9.6,0.0,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,2.0,2.0,1.0,3.0,1.0,4.0,0.0,1.0,1.0,2.0,5.0,4.0,6-11,235.0,"November 21, 1988",Virginia Commonwealth University,1865547.0
24573,2017.0,Dario Saric,PF,22.0,PHI,81.0,36.0,2129.0,12.8,0.508,0.368,0.237,5.8,20.8,13.3,14.3,1.3,1.1,15.2,24.6,,-1.2,2.2,1.0,0.023,,-2.0,-0.2,-2.2,-0.1,381.0,927.0,0.411,106.0,341.0,0.311,275.0,586.0,0.469,0.468,172.0,220.0,0.782,112.0,401.0,513.0,182.0,57.0,30.0,183.0,162.0,1040.0,6-10,223.0,"April 8, 1994",,2422560.0
24574,2017.0,Tomas Satoransky,SG,25.0,WAS,57.0,3.0,719.0,8.5,0.48,0.253,0.226,3.9,9.1,6.5,16.7,1.8,0.7,19.1,12.1,,0.1,0.5,0.6,0.041,,-2.9,-0.2,-3.1,-0.2,61.0,146.0,0.418,9.0,37.0,0.243,52.0,109.0,0.477,0.449,23.0,33.0,0.697,25.0,58.0,83.0,92.0,26.0,6.0,38.0,60.0,154.0,6-7,210.0,"October 30, 1991",,3000000.0
24575,2017.0,Dennis Schroder,PG,23.0,ATL,79.0,78.0,2485.0,16.1,0.533,0.242,0.21,1.9,9.0,5.5,35.5,1.5,0.6,16.3,27.8,,1.2,2.5,3.7,0.071,,0.7,-1.4,-0.7,0.8,548.0,1215.0,0.451,100.0,294.0,0.34,448.0,921.0,0.486,0.492,218.0,255.0,0.855,42.0,206.0,248.0,499.0,74.0,16.0,258.0,149.0,1414.0,6-1,172.0,"September 15, 1993",,15500000.0
24577,2017.0,Mike Scott,PF,28.0,ATL,18.0,0.0,195.0,5.9,0.36,0.458,0.136,5.7,15.0,10.4,12.5,1.0,1.3,11.3,15.8,,-0.3,0.2,-0.1,-0.014,,-5.3,-0.1,-5.3,-0.2,17.0,59.0,0.288,4.0,27.0,0.148,13.0,32.0,0.406,0.322,7.0,8.0,0.875,10.0,27.0,37.0,17.0,4.0,3.0,8.0,12.0,45.0,6-8,237.0,"July 16, 1988",University of Virginia,1709538.0
24578,2017.0,Thabo Sefolosha,SF,32.0,ATL,62.0,42.0,1596.0,11.9,0.519,0.304,0.19,3.8,14.7,9.3,9.9,3.0,1.7,11.9,13.3,,0.6,2.7,3.3,0.098,,-1.9,3.1,1.2,1.3,174.0,395.0,0.441,41.0,120.0,0.342,133.0,275.0,0.484,0.492,55.0,75.0,0.733,54.0,216.0,270.0,107.0,96.0,31.0,58.0,97.0,444.0,6-7,220.0,"May 2, 1984",,5250000.0
24579,2017.0,Wayne Selden,SG,22.0,TOT,14.0,5.0,236.0,6.9,0.525,0.483,0.379,0.5,7.2,3.8,8.5,1.3,0.4,15.1,15.3,,-0.1,0.2,0.1,0.017,,-3.4,-1.6,-5.0,-0.2,25.0,58.0,0.431,7.0,28.0,0.25,18.0,30.0,0.6,0.491,14.0,22.0,0.636,1.0,15.0,16.0,13.0,6.0,1.0,12.0,18.0,71.0,6-5,230.0,"September 30, 1994",University of Kansas,1312611.0
24580,2017.0,Wayne Selden,SG,22.0,NOP,3.0,3.0,47.0,10.0,0.82,0.875,0.5,0.0,11.3,5.6,3.0,2.1,0.0,23.5,12.0,,0.0,0.0,0.1,0.089,,-0.5,-0.7,-1.2,0.0,5.0,8.0,0.625,4.0,7.0,0.571,1.0,1.0,1.0,0.875,2.0,4.0,0.5,0.0,5.0,5.0,1.0,2.0,0.0,3.0,6.0,16.0,6-5,230.0,"September 30, 1994",University of Kansas,1312611.0
24581,2017.0,Wayne Selden,SG,22.0,MEM,11.0,2.0,189.0,6.2,0.475,0.42,0.36,0.6,6.2,3.3,9.9,1.1,0.5,13.4,16.1,,-0.1,0.1,0.0,-0.001,,-4.1,-1.8,-6.0,-0.2,20.0,50.0,0.4,3.0,21.0,0.143,17.0,29.0,0.586,0.43,12.0,18.0,0.667,1.0,10.0,11.0,12.0,4.0,1.0,9.0,12.0,55.0,6-5,230.0,"September 30, 1994",University of Kansas,1312611.0
24583,2017.0,Ramon Sessions,PG,30.0,CHO,50.0,1.0,811.0,12.3,0.495,0.236,0.449,1.5,8.5,4.9,24.2,1.6,0.3,12.7,20.1,,0.3,0.6,0.9,0.054,,-2.4,-2.3,-4.8,-0.6,100.0,263.0,0.38,21.0,62.0,0.339,79.0,201.0,0.393,0.42,91.0,118.0,0.771,11.0,62.0,73.0,129.0,26.0,3.0,46.0,43.0,312.0,6-3,190.0,"April 11, 1986","University of Nevada, Reno",2328652.0
24584,2017.0,Iman Shumpert,SG,26.0,CLE,76.0,31.0,1937.0,9.0,0.536,0.534,0.184,2.3,9.9,6.2,7.8,1.6,1.1,12.9,13.9,,0.7,1.4,2.0,0.05,,-1.3,0.0,-1.3,0.3,201.0,489.0,0.411,94.0,261.0,0.36,107.0,228.0,0.469,0.507,71.0,90.0,0.789,39.0,180.0,219.0,109.0,62.0,27.0,78.0,150.0,567.0,6-5,220.0,"June 26, 1990",Georgia Institute of Technology,10337079.0
24585,2017.0,Pascal Siakam,PF,22.0,TOR,55.0,38.0,859.0,11.5,0.523,0.034,0.156,8.4,15.9,12.2,2.9,1.5,4.5,13.1,13.1,,0.4,1.2,1.6,0.089,,-3.0,1.8,-1.1,0.2,103.0,205.0,0.502,1.0,7.0,0.143,102.0,198.0,0.515,0.505,22.0,32.0,0.688,64.0,121.0,185.0,17.0,26.0,45.0,33.0,109.0,229.0,6-9,230.0,"February 4, 1994",New Mexico State University,1312611.0
24586,2017.0,Jonathon Simmons,SG,27.0,SAS,78.0,8.0,1392.0,9.9,0.504,0.242,0.314,1.7,11.1,6.5,13.2,1.7,1.5,13.7,18.0,,-0.1,2.1,2.0,0.068,,-2.8,0.9,-1.9,0.0,177.0,421.0,0.42,30.0,102.0,0.294,147.0,319.0,0.461,0.456,99.0,132.0,0.75,20.0,140.0,160.0,126.0,47.0,25.0,76.0,146.0,483.0,6-6,195.0,"September 14, 1989",University of Houston,6300000.0
24587,2017.0,Kyle Singler,SF,28.0,OKC,32.0,2.0,385.0,5.9,0.486,0.446,0.205,2.3,11.5,6.9,3.2,0.9,1.0,10.8,11.2,,0.0,0.3,0.3,0.034,,-4.6,-1.3,-5.9,-0.4,34.0,83.0,0.41,7.0,37.0,0.189,27.0,46.0,0.587,0.452,13.0,17.0,0.765,8.0,40.0,48.0,9.0,7.0,5.0,11.0,29.0,88.0,6-8,228.0,"May 4, 1988",Duke University,4666500.0
24588,2017.0,Marcus Smart,SG,22.0,BOS,79.0,24.0,2399.0,12.0,0.486,0.443,0.334,3.7,10.5,7.1,22.0,2.6,1.2,15.6,18.8,,0.5,2.7,3.2,0.064,,-1.1,0.9,-0.3,1.0,269.0,749.0,0.359,94.0,332.0,0.283,175.0,417.0,0.42,0.422,203.0,250.0,0.812,78.0,228.0,306.0,364.0,125.0,34.0,159.0,192.0,835.0,6-4,220.0,"March 6, 1994",Oklahoma State University,4538020.0
24589,2017.0,Ish Smith,PG,28.0,DET,81.0,32.0,1955.0,14.7,0.477,0.14,0.136,1.1,12.4,6.6,32.5,1.6,1.4,12.4,20.5,,0.9,2.2,3.1,0.076,,-1.2,0.4,-0.8,0.6,329.0,749.0,0.439,28.0,105.0,0.267,301.0,644.0,0.467,0.458,72.0,102.0,0.706,21.0,214.0,235.0,418.0,61.0,33.0,112.0,127.0,758.0,6-0,175.0,"July 5, 1988",Wake Forest University,6000000.0
24590,2017.0,J.R. Smith,SG,31.0,CLE,41.0,35.0,1187.0,8.1,0.484,0.761,0.042,1.6,8.6,5.2,7.3,1.7,0.7,6.7,14.6,,0.1,0.8,0.8,0.034,,-0.5,-0.7,-1.3,0.2,123.0,356.0,0.346,95.0,271.0,0.351,28.0,85.0,0.329,0.479,10.0,15.0,0.667,17.0,96.0,113.0,62.0,40.0,11.0,26.0,77.0,351.0,6-6,225.0,"September 9, 1985",,13760000.0
24591,2017.0,Jason Smith,C,30.0,WAS,74.0,3.0,1068.0,13.6,0.598,0.237,0.155,6.8,20.4,13.6,5.0,1.0,4.3,14.2,16.7,,1.0,1.3,2.3,0.103,,-2.0,0.6,-1.3,0.2,174.0,329.0,0.529,37.0,78.0,0.474,137.0,251.0,0.546,0.585,35.0,51.0,0.686,64.0,194.0,258.0,37.0,21.0,55.0,58.0,168.0,420.0,7-0,245.0,"March 2, 1986",Colorado State University,5225000.0
24592,2017.0,Tony Snell,SG,25.0,MIL,80.0,80.0,2336.0,9.7,0.603,0.656,0.107,1.1,11.1,6.2,5.9,1.2,0.5,8.8,12.1,,2.1,1.3,3.4,0.071,,0.2,-1.1,-0.8,0.7,246.0,541.0,0.455,144.0,355.0,0.406,102.0,186.0,0.548,0.588,47.0,58.0,0.81,22.0,226.0,248.0,96.0,54.0,14.0,55.0,125.0,683.0,6-7,200.0,"November 10, 1991",University of New Mexico,9821429.0
24593,2017.0,Marreese Speights,C,29.0,LAC,82.0,2.0,1286.0,17.6,0.584,0.505,0.25,7.9,24.1,16.2,8.1,0.9,2.6,10.2,23.6,,2.5,1.7,4.2,0.156,,1.5,-0.8,0.7,0.9,244.0,548.0,0.445,103.0,277.0,0.372,141.0,271.0,0.52,0.539,120.0,137.0,0.876,88.0,285.0,373.0,66.0,23.0,41.0,69.0,229.0,711.0,6-10,255.0,"August 4, 1987",University of Florida,2116955.0
24595,2017.0,Nik Stauskas,SG,23.0,PHI,80.0,27.0,2188.0,9.0,0.54,0.566,0.237,1.1,10.3,5.7,12.9,1.0,1.2,15.5,16.4,,0.1,1.4,1.4,0.031,,-1.7,-0.7,-2.4,-0.2,251.0,634.0,0.396,132.0,359.0,0.368,119.0,275.0,0.433,0.5,122.0,150.0,0.813,21.0,205.0,226.0,188.0,45.0,32.0,128.0,144.0,756.0,6-6,205.0,"October 7, 1993",University of Michigan,3807146.0
24596,2017.0,Lance Stephenson,SG,26.0,TOT,18.0,0.0,361.0,9.6,0.485,0.167,0.108,1.2,14.8,8.0,24.8,0.7,0.7,17.1,18.7,,-0.2,0.2,0.1,0.009,,-3.9,-1.5,-5.4,-0.3,54.0,120.0,0.45,6.0,20.0,0.3,48.0,100.0,0.48,0.475,8.0,13.0,0.615,4.0,48.0,52.0,59.0,5.0,3.0,26.0,32.0,122.0,6-5,230.0,"September 5, 1990",University of Cincinnati,4180000.0
24597,2017.0,Lance Stephenson,SG,26.0,NOP,6.0,0.0,162.0,10.3,0.496,0.182,0.145,1.9,9.8,5.9,27.7,0.6,0.5,15.8,19.0,,0.0,0.1,0.1,0.028,,-3.0,-1.9,-4.8,-0.1,26.0,55.0,0.473,1.0,10.0,0.1,25.0,45.0,0.556,0.482,5.0,8.0,0.625,3.0,15.0,18.0,29.0,2.0,1.0,11.0,18.0,58.0,6-5,230.0,"September 5, 1990",University of Cincinnati,4180000.0
24598,2017.0,Lance Stephenson,SG,26.0,MIN,6.0,0.0,67.0,6.6,0.48,0.095,0.095,0.0,17.7,8.7,11.2,0.0,0.0,15.5,17.1,,-0.1,0.0,-0.1,-0.045,,-6.1,-3.1,-9.3,-0.1,10.0,21.0,0.476,0.0,2.0,0.0,10.0,19.0,0.526,0.476,1.0,2.0,0.5,0.0,10.0,10.0,5.0,0.0,0.0,4.0,2.0,21.0,6-5,230.0,"September 5, 1990",University of Cincinnati,4180000.0
24599,2017.0,Lance Stephenson,SG,26.0,IND,6.0,0.0,132.0,10.3,0.474,0.182,0.068,0.9,19.3,10.2,28.1,1.1,1.3,19.5,19.1,,-0.1,0.1,0.0,0.012,,-4.0,-0.2,-4.2,-0.1,18.0,44.0,0.409,5.0,8.0,0.625,13.0,36.0,0.361,0.466,2.0,3.0,0.667,1.0,23.0,24.0,25.0,3.0,2.0,11.0,12.0,43.0,6-5,230.0,"September 5, 1990",University of Cincinnati,4180000.0
24601,2017.0,Diamond Stone,C,19.0,LAC,7.0,0.0,24.0,-1.2,0.339,0.0,0.308,4.8,22.7,14.0,0.0,0.0,3.4,11.9,31.3,,-0.1,0.0,-0.1,-0.211,,-17.3,-6.9,-24.1,-0.1,3.0,13.0,0.231,0.0,0.0,,3.0,13.0,0.231,0.231,4.0,4.0,1.0,1.0,5.0,6.0,0.0,0.0,1.0,2.0,5.0,10.0,6-11,255.0,"February 10, 1997",University of Maryland,1312611.0
24607,2017.0,Isaiah Taylor,PG,22.0,HOU,4.0,0.0,52.0,0.3,0.19,0.286,0.286,2.1,4.2,3.1,7.1,0.9,1.6,0.0,6.4,,-0.1,0.0,0.0,-0.028,,-6.4,-0.1,-6.6,-0.1,1.0,7.0,0.143,0.0,2.0,0.0,1.0,5.0,0.2,0.143,1.0,2.0,0.5,1.0,2.0,3.0,3.0,1.0,1.0,0.0,6.0,3.0,6-3,170.0,"July 11, 1994",University of Texas at Austin,1312611.0
