,Age,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,WS/48,3P%,2P%,FT%,height,weight,college,Salary,BMI,SG,PF,C,SF,PG,Age^2,height^2,weight^2,BMI^2
394,5.75,3.474025974025974,6.012195121951219,0.9125475285171102,2.534435261707989,2.2924901185770747,2.2164048865619543,1.7117117117117118,2.087912087912088,2.4311926605504586,1.709844559585492,3.3000000000000003,4.44,7.79,8.96551724137931,6.8965517241379315,10.0,0.4242427387836246,7.648401047389601,10.0,0.0,0.0,0.0,0.0,33.0625,80.38049940546966,47.562425683709876,58.498038581710354
395,5.25,3.116883116883117,6.304878048780488,0.6844106463878328,3.1680440771349865,2.648221343873518,1.5183246073298429,1.1711711711711712,0.5494505494505495,2.1788990825688073,0.7253886010362693,2.86,5.0,7.890000000000001,8.96551724137931,7.068965517241379,10.0,0.4338089327341848,7.839611073574342,10.0,0.0,0.0,0.0,0.0,27.5625,80.38049940546966,49.97027348394768,61.45950178490944
396,6.0,3.7012987012987013,6.646341463414634,0.41825095057034223,2.066115702479339,1.7391304347826089,2.6178010471204187,1.0810810810810811,0.4395604395604396,2.8440366972477067,1.5284974093264247,3.71,4.91,6.909999999999999,8.735632183908047,6.8965517241379315,10.0,3.409495553239309,8.05624514756204,10.0,0.0,0.0,0.0,0.0,36.0,76.31126965253007,47.562425683709876,64.9030858776169
397,6.25,3.116883116883117,6.219512195121951,1.7490494296577943,3.911845730027548,3.715415019762846,0.8027923211169284,1.7117117117117118,2.9670329670329676,2.0871559633027523,2.2020725388601035,2.45,6.09,4.2299999999999995,9.080459770114942,7.241379310344827,10.0,2.6697169037455435,7.828795957528321,0.0,0.0,0.0,10.0,0.0,39.0625,82.4547496366759,52.43757431629013,61.29004614461178
398,5.75,3.7337662337662336,6.878048780487804,1.7110266159695817,4.022038567493113,3.794466403162055,0.8202443280977313,1.2612612612612613,1.3186813186813187,2.0871559633027523,2.2020725388601035,3.92,5.12,7.109999999999999,8.96551724137931,7.655172413793103,10.0,0.43950199740215184,8.489725162602458,0.0,0.0,0.0,10.0,0.0,33.0625,80.38049940546966,58.60166468489893,72.07543333652532
399,7.5,4.415584415584416,5.621951219512196,1.596958174904943,4.573002754820937,4.1106719367588935,6.457242582897034,2.4324324324324325,0.5494505494505495,5.137614678899082,1.5803108808290156,3.76,4.18,6.0,8.390804597701148,6.413793103448276,10.0,0.9514871311365514,8.120767673908059,0.0,0.0,0.0,0.0,10.0,56.25,70.40560179680273,41.136741973840664,65.9468676135901
400,7.0,5.51948051948052,6.463414634146342,1.2927756653992395,2.5619834710743805,2.529644268774703,3.979057591623037,0.9909909909909911,0.7692307692307693,2.7293577981651373,1.761658031088083,2.17,4.87,8.74,8.620689655172413,6.551724137931034,10.0,0.610380436271266,7.858885044213762,0.0,0.0,0.0,0.0,10.0,49.0,74.31629013079666,42.925089179548145,61.762074138166746
401,6.25,4.35064935064935,6.707317073170732,0.38022813688212925,3.0027548209366395,2.33201581027668,1.2390924956369982,2.0720720720720722,1.5384615384615385,1.8348623853211008,2.227979274611399,3.63,5.18,8.309999999999999,9.080459770114942,7.1034482758620685,10.0,3.0274590536162997,7.679676034527782,0.0,0.0,0.0,10.0,0.0,39.0625,82.4547496366759,50.45897740784779,58.97742399530036
402,6.25,4.837662337662338,6.8048780487804885,0.49429657794676807,3.2231404958677685,2.5691699604743086,1.029668411867365,2.0720720720720722,1.5384615384615385,1.4220183486238533,3.005181347150259,3.75,5.16,8.2,9.080459770114942,7.1034482758620685,10.0,3.0274590536162997,7.679676034527782,0.0,0.0,0.0,10.0,0.0,39.0625,82.4547496366759,50.45897740784779,58.97742399530036
403,6.25,3.603896103896104,6.536585365853659,0.22813688212927755,2.644628099173554,1.9367588932806326,1.5706806282722514,2.0720720720720722,1.5384615384615385,2.568807339449541,0.9585492227979274,3.41,5.23,8.52,9.080459770114942,7.1034482758620685,10.0,3.0274590536162997,7.679676034527782,0.0,0.0,0.0,10.0,0.0,39.0625,82.4547496366759,50.45897740784779,58.97742399530036
404,5.5,3.5064935064935066,5.682926829268293,1.3688212927756656,4.490358126721763,3.952569169960474,2.652705061082025,1.6216216216216217,0.7692307692307693,2.2247706422018347,1.3730569948186528,3.18,4.050000000000001,7.73,8.50574712643678,6.551724137931034,10.0,0.5733488454568652,8.072722493371515,0.0,0.0,0.0,0.0,10.0,30.25,72.34773417888755,42.925089179548145,65.1688484549864
